,team,conference,avg_talent,season,sp_conf_rating,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,qb_average_ppa,qb_total_ppa,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_success_rate,Defense_success_rate,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Offense_power_success,Offense_stuff_rate,Defense_power_success,Defense_stuff_rate,Defense_ppa,Offense_points_per_opportunity,Defense_points_per_opportunity,Defense_havoc_total,Offense_field_position_average_predicted_points,Defense_field_position_average_predicted_points,Offense_field_position_average_start,Defense_field_position_average_start,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,adjusted_metric,average_metric,in_house_pr,ranking,power_ranking,calculated_rank,combined_rank,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,offensive_rank,defensive_total,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,power_rating,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving
0,Ohio State,Big Ten,95.9394522808534,2024,75.25453213697125,331,20,28,4,9,16,1,148,10,1.0,153,14,4208,455,325,10,37,72,653,29085,50.5,237,25,532,34,2665,53,113,81,186,6873,14,42.048780487804876,67.83905869624019,68.63734543747066,484.75,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",0.21866666666666665,83.15433333333333,24.823,3,6,27,83.601,80.443,49.523,16,14,2,10,8,2,88.90500674897442,94.46435263400397,65.51219401001435,73.61030971828282,93.37089243372095,66.84009691096304,39.135997304786805,50.35652173913044,61.66137313033697,100.00000000000001,81.45997890542598,100.0,82.52941176470588,27.67607003891051,7.546558704453474,71.5,74.6,7.750412012451932,58.95121951219512,92.58901237156638,67.83905869624019,25.57931034482756,8.019801980198025,81.45997890542598,88.90500674897442,65.51219401001435,963.08592982594,100.0,58.267287234042556,93.37089243372095,100.0,94.46435263400397,73.61030971828285,242.74976956982727,85.9771259241661,25.2,1.0,79.59079582637139,1.0,2.544873379622331,0.6780288028068459,4.0,23.508571428571422,103.0,2081.434370711815,12.0,475.25,246.60000000000002,4.0,462.90023635279607,4,487.63911592620775,2,3.0,6.0,5.0,24.0,24.0,41.0,66.0,27.2,11.81,126,8.24,5.21,2.22,1,3.565,1
1,Penn State,Big Ten,79.82951553966444,2024,75.25453213697125,367,18,25,5,6,16,4,310,10,1.0,382,18,3646,437,292,20,30,85,804,29152,1.0,136,23,614,35,3239,44,113,89,194,6885,15,27.560975609756095,74.07844197998377,69.52058225074346,485.87,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",0.4575,87.1985,20.037,9,5,29,75.103,80.469,36.924,16,13,3,10,8,2,91.00578006125878,79.80064460373603,34.54082811915811,61.330894451849474,77.21930649961199,53.09394515340753,40.081602089013465,34.808695652173924,5.847660500544038,85.76509299941816,87.58326497128796,64.69564623507122,66.99901787175787,28.831712062256827,21.57489878542512,71.5,73.0,7.750412012451932,73.4390243902439,93.17026630320822,74.07844197998377,25.57931034482756,4.851485148514882,87.58326497128796,91.00578006125878,34.54082811915811,816.631959451495,64.69564623507124,38.388297872340424,77.21930649961199,85.76509299941814,79.80064460373602,61.330894451849495,223.43586061079978,71.61042445583875,18.5,5.0,66.04085978655058,2.0,9.381087909164172,0.9845316371649482,37.0,28.63526570048309,72.0,2161.562939814707,7.0,474.13,214.20000000000002,17.0,412.3564389559947,19,353.823533228218,78,13.0,4.0,21.0,107.0,61.0,11.0,109.0,21.4,12.524,132,6.31,3.14,0.45,6,1.622,6
2,Notre Dame,FBS Independents,82.37475934147969,2024,50.478850027467494,325,22,30,7,14,16,5,454,8,34.0,402,18,3170,445,296,19,24,93,814,28955,1.0,172,27,563,45,3223,40,87,76,185,6393,15,10.658536585365852,61.224776846091416,71.58146814838003,482.58,#0c2340,#c99700,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",0.3415,66.761,25.305,2,4,58,88.226,78.053,42.499,16,14,2,0,0,0,69.0936871903657,79.94637089472008,52.44151248861493,85.93986608972469,74.26699055557357,59.790192365194855,30.88978917860296,48.29043478260871,76.36829403091541,93.74290618567562,86.55633887065905,64.47615834228665,59.5741283611851,54.35214007782099,16.898785425101238,67.4,74.7,5.498077275224317,90.34146341463415,91.46283287901028,61.224776846091416,53.5724137931034,8.217821782178248,86.55633887065905,69.0936871903657,52.44151248861493,839.7705394679972,64.47615834228665,37.0718085106383,74.26699055557357,93.74290618567561,79.94637089472008,85.9398660897247,224.62846951840652,75.90522223411243,18.9,8.0,63.07554925129664,3.0,8.100297410837875,0.9693124034997428,33.0,36.0037037037037,22.0,2074.0383814285146,13.0,477.42,232.2,9.0,427.390650726832,12,465.66281575103244,6,10.0,36.0,19.0,61.0,9.0,2.0,112.0,20.1,12.364,131,7.52,4.37,1.66,2,2.93,3
3,Alabama,SEC,100.0,2024,100.0,271,8,16,10,11,13,0,242,11,1.0,282,14,3073,354,226,17,17,95,897,22878,1.0,224,25,487,41,2262,25,71,78,164,5335,21,37.21951219512195,78.5772247768461,35.4307403349507,381.3,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.268,57.3385,23.933,4,9,16,79.955,77.281,59.628,13,9,4,8,5,3,71.85931660556554,89.26805662503219,58.02061600082476,70.78661819071431,64.16616117375133,59.13048368953878,68.36001506702948,44.38782608695652,52.41074572566748,90.32892277014324,86.84690057003432,78.01089332058461,55.30797731663128,34.898832684824896,41.34817813765184,70.2,71.5,10.0,63.78048780487805,38.90087020339695,78.5772247768461,34.455172413793065,1.881188118811906,86.84690057003432,71.85931660556554,58.02061600082476,1000.0,78.01089332058461,26.14494680851064,64.16616117375133,90.32892277014322,89.26805662503219,70.78661819071432,215.8580177656808,74.07161522767188,15.9,4.0,62.75811314711885,4.0,5.721788199892679,0.897,24.0,30.402857142857144,60.0,1523.717823698244,55.0,398.7,192.6,28.0,443.2823257915692,7,466.54124085675016,5,1.0,28.0,9.0,40.0,34.0,33.0,126.0,19.9,9.244,17,4.09,1.33,-1.22,19,-0.234,21
4,Ole Miss,SEC,68.21535499587443,2024,100.0,322,17,29,6,10,13,1,85,7,1.0,141,7,4561,434,295,12,31,94,936,22140,1.0,126,21,499,29,2286,53,120,71,169,6847,13,32.390243902439025,63.71517446578305,48.78776021286588,369.0,#13294b,#c8102e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']",0.4335,123.375,20.608,8,18,33,81.866,76.596,47.73,13,10,3,8,5,3,86.28437935426976,100.0,69.9818885671308,53.42041193702701,88.84442526927776,57.99212598425197,45.77363060749132,46.33913043478259,26.428990871422684,94.29380685232297,62.590157556895534,71.37561761394947,100.0,34.60992217898831,5.67611336032391,70.3,74.8,10.0,68.60975609756098,32.51745648983015,63.71517446578305,33.77241379310344,8.415841584158443,62.590157556895534,86.28437935426976,69.9818885671308,711.0486817806766,71.37561761394949,21.010638297872347,88.84442526927776,94.29380685232296,100.0,53.42041193702702,222.2919753379682,82.13748533000472,18.1,2.0,57.320934518910754,5.0,6.204173088893823,1.316365565373075,70.0,30.64285714285714,58.0,1641.2915642997632,39.0,411.0,244.8,5.0,446.07652951830545,6,397.5340710698286,33,21.0,9.0,1.0,13.0,91.0,18.0,129.0,17.6,9.703,30,4.08,1.53,-0.66,16,0.227,16
5,Oregon,Big Ten,83.5278770971671,2024,75.25453213697125,324,13,20,5,5,14,0,38,6,1.0,322,12,3913,460,335,12,30,74,580,25918,50.5,195,22,495,30,2216,38,82,87,180,6129,11,39.634146341463406,80.63916689207464,58.673814368445775,431.97,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",0.449,200.087,21.125,6,1,34,73.779,85.403,53.859,14,13,1,11,10,1,88.32994434362132,76.67136424997372,35.928382334557284,62.31291987801677,77.85369075353054,70.34406025333789,37.21063877003672,15.295652173913027,79.94732675036137,68.80821007436724,85.90771123872027,46.45725411515491,66.16534606706196,27.290856031128413,25.04858299595145,71.0,72.9,7.750412012451932,61.36585365853658,65.19742084294404,80.63916689207464,28.993103448275832,4.653465346534688,85.90771123872027,88.32994434362132,35.928382334557284,850.2534281560645,46.457254115154925,67.87765957446808,77.85369075353054,68.80821007436722,76.6713642499737,62.3129198780168,226.26092916635258,68.31741860567782,19.5,3.0,56.04997594636347,6.0,5.962980644393252,0.682149557759314,5.0,37.5969696969697,20.0,2010.7229562896619,15.0,408.03,164.0,69.0,422.8652837249324,13,374.54131023773846,58,8.0,7.0,30.0,105.0,56.0,37.0,38.0,17.0,9.708,31,6.74,4.26,2.21,3,3.17,2
6,Georgia,SEC,96.71612117402066,2024,100.0,305,18,27,7,11,14,0,23,13,1.0,205,13,3934,513,336,8,29,80,751,24979,1.0,174,22,423,24,1754,37,87,69,176,5688,20,56.536585365853654,56.19042466865025,61.26154327750821,416.32,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",0.26449999999999996,87.94300000000001,22.091,5,2,1,73.308,79.935,59.572,14,11,3,9,7,2,71.94463505346772,78.49294692826714,37.339392153052756,68.06081526418112,60.27285860557217,56.190551181102364,57.47196055999354,29.13217391304346,64.90804077658782,70.04096618940801,81.66312792549341,65.09854181908676,37.531047531798706,27.19455252918287,24.51417004048585,70.6,73.1,10.0,44.46341463414634,57.075435101698474,56.19042466865025,31.72413793103449,5.049504950495049,81.66312792549341,71.94463505346772,37.339392153052756,970.1465561274604,65.09854181908678,45.3656914893617,60.27285860557217,70.040966189408,78.49294692826714,68.06081526418113,200.4113667441319,64.35860236565814,10.6,6.0,54.013349645785965,7.0,8.02546913501444,0.7741098448030069,12.0,26.17832167832168,87.0,1816.8722550938096,25.0,423.68,229.39999999999998,10.0,392.0770780078648,32,400.2476549310602,30,2.0,27.0,25.0,102.0,43.0,65.0,94.0,16.2,8.96,8,6.4,3.85,1.04,5,2.241,5
7,Miami,ACC,79.80055793485519,2024,64.54802503312257,352,13,20,8,4,13,1,220,8,1.0,559,25,4527,489,328,14,41,86,865,25518,1.0,128,17,430,30,2459,35,83,90,162,6986,16,49.292682926829265,99.99999999999999,58.673814368445775,425.3,#005030,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']",0.08866666666666666,78.318,17.338,11,14,55,52.889,87.084,41.286,13,10,3,8,6,2,99.99999999999997,82.30497790064678,69.2457671895948,27.936046964947963,100.00000000000001,100.0,9.153593914612912,82.11304347826086,16.579729692865868,61.82130275725953,97.06615190751252,32.412063754951504,62.90707876370888,33.261673151750955,25.449392712550605,70.3,72.3,6.777093184829324,51.70731707317073,61.73584608932691,99.99999999999999,33.77241379310344,3.465346534653463,97.06615190751252,99.99999999999997,69.2457671895948,816.3687084986836,32.412063754951504,30.357712765957444,100.00000000000001,61.821302757259524,82.30497790064676,27.936046964947977,223.69157502152456,73.55134913540817,18.6,10.0,52.542805513372414,8.0,14.861683664556278,1.0595702542185261,44.0,31.889411764705883,44.0,2206.1916719843002,6.0,354.7,161.8,74.0,508.7271861634712,1,328.6165572614831,93,14.0,1.0,16.0,15.0,129.0,52.0,121.0,15.5,10.209,51,3.72,0.92,-1.18,23,-0.352,22
8,Texas,SEC,87.21284035990729,2024,100.0,353,18,33,12,9,16,1,182,14,1.0,294,15,4459,541,357,22,40,102,829,28667,50.5,315,30,580,26,2546,45,113,91,216,7005,26,42.048780487804876,64.03651609413038,42.481139458444204,477.78,#c15d26,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",0.4555,102.64699999999999,26.107,1,3,21,92.32,73.85,35.538,16,13,3,9,7,2,71.14757403163654,77.60678083243741,52.99636186172239,92.15491458721507,59.112763396211605,40.191420038012495,61.51285809267082,76.13607520564042,39.600665915177274,92.79165075320998,53.63104815949306,89.39366206802347,80.45663010967098,42.02529182879377,40.14574898785426,69.3,71.4,10.0,58.95121951219512,88.97174460054518,64.03651609413038,40.599999999999994,1.6831683168317113,53.63104815949306,71.14757403163654,52.99636186172239,883.7530941809753,89.39366206802349,35.09707446808511,59.112763396211605,92.79165075320996,77.60678083243741,92.15491458721509,199.64571825600387,74.30167424373883,10.3,7.0,52.525154561726005,10.0,6.6698503608647055,0.9380448062456651,27.0,32.20000000000001,41.0,1519.849200110188,57.0,482.22,249.8,2.0,380.61731740854066,39,507.82949834955787,1,6.0,32.0,28.0,58.0,4.0,41.0,115.0,15.5,12.005,129,7.51,4.14,1.0,4,2.444,4
9,Indiana,Big Ten,55.773957801265176,2024,75.25453213697125,306,13,22,3,9,13,2,218,6,1.0,127,6,3397,361,246,15,33,62,571,23951,1.0,346,27,484,37,2161,35,95,68,144,5558,9,17.90243902439024,77.66675682986205,49.51604319924871,399.18,#990000,#edebeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/84.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/84.png']",0.5265,101.41,18.73,10,8,68,72.021,85.132,40.91,13,11,2,9,8,1,98.36468728386524,89.15448653036674,44.03291827640521,76.3764658035542,81.85721701479892,59.38912877825754,52.20996193862306,56.09565217391304,2.4164527928379584,88.17738940273858,100.00000000000001,46.2909110777216,87.93972320327154,65.42704280155641,24.11336032388664,65.5,73.0,7.750412012451932,83.09756097560975,48.18017404067939,77.66675682986205,66.54482758620689,4.851485148514882,100.00000000000001,98.36468728386524,44.03291827640521,597.9450709205926,46.29091107772161,69.0625,81.85721701479892,88.17738940273858,89.15448653036671,76.37646580355421,262.3689898891987,79.66052738528815,31.9,11.0,52.52844239976717,9.0,15.177704384880288,0.954937213749236,30.0,41.48148148148148,6.0,1797.6945861297486,27.0,380.82,191.0,31.0,501.2809560935064,2,382.62471810501876,48,48.0,2.0,10.0,84.0,20.0,5.0,33.0,15.5,9.768,35,4.14,1.89,0.22,9,0.794,7
